sd_onset_control	effect_size	obs_freq	statistical_test	pwr
7	1	7	t	0.999999999999906
14	1	7	t	0.999999999999906
21	1	7	t	0.999999999999906
30	1	7	t	0.999999999999906
60	1	7	t	0.999999999999906
90	1	7	t	0.999999999999906
150	1	7	t	0.980599999999908
1	1.5	7	t	0.999999999999906
3	1.5	7	t	0.999999999999906
7	1.5	7	t	0.999999999999906
14	1.5	7	t	0.999999999999906
21	1.5	7	t	0.999999999999906
30	1.5	7	t	0.999999999999906
60	1.5	7	t	0.999999999999906
90	1.5	7	t	0.999999999999906
150	1.5	7	t	0.998499999999906
1	2	7	t	0.999999999999906
3	2	7	t	0.999999999999906
7	2	7	t	0.999999999999906
14	2	7	t	0.999999999999906
21	2	7	t	0.999999999999906
30	2	7	t	0.999999999999906
60	2	7	t	0.999999999999906
90	2	7	t	0.999999999999906
150	2	7	t	0.999899999999906
1	0.00958904109589041	14	t	0.210499999999993
3	0.00958904109589041	14	t	0.553199999999955
7	0.00958904109589041	14	t	0.211099999999993
14	0.00958904109589041	14	t	0.0992000000000018
21	0.00958904109589041	14	t	0.0653000000000008
30	0.00958904109589041	14	t	0.0598000000000007
60	0.00958904109589041	14	t	0.0497000000000004
90	0.00958904109589041	14	t	0.0491000000000004
150	0.00958904109589041	14	t	0.0462000000000003
1	0.0191780821917808	14	t	0.203399999999994
3	0.0191780821917808	14	t	0.87059999999992
7	0.0191780821917808	14	t	0.622699999999948
14	0.0191780821917808	14	t	0.24089999999999
21	0.0191780821917808	14	t	0.135800000000001
30	0.0191780821917808	14	t	0.0940000000000017
