TRUEMEAN TRUESD TRUEMEDIAN OBSMEAN OBSSD OBSMEDIAN OBSSKEW OBSKURT OBSPCTF PENETRANCE ROBSMEAN ROBSSD
45 12 45 44.4346451545075 11.7235970887585 45 -0.0470977349833162 -0.043395518901963 0.507904038683685 0.9402597074 44 12
45 13 45 44.2948701162959 12.6688042900638 44 -0.0509222381125194 -0.0829637589283858 0.508295676640144 0.9367059659 44 13
45 14 45 44.1849629203157 13.5013732434369 44 -0.0492090937086808 -0.124862342784471 0.508630687427957 0.9325788261 44 14
45 15 45 43.9755804087693 14.342628660288 44 -0.0445549020243251 -0.179071841201905 0.508969578773061 0.9278971968 44 14
46 5 46 45.9287113154179 4.99025684329429 46 -0.0086083168690574 0.00714142376981686 0.506857416419082 0.95128532035 46 5
46 6 46 45.8724124222652 5.99330830808195 46 0.00491605745512466 0.0110512469144912 0.507028175387725 0.94999975195 46 6
46 7 46 45.8340658454595 6.97161908497367 46 -0.0108538261147743 -0.0109193384353627 0.507255765987509 0.94843316155 46 7
46 8 46 45.7832899490663 7.93043270744438 46 -0.0207632621591489 0.0134039065952032 0.507322751543513 0.9467153513 46 8
46 9 46 45.7516485349865 8.93016613260176 46 -0.013206975815596 -0.0116917229483038 0.507695269557828 0.94432350555 46 9
46 10 46 45.5998952089227 9.85009456028752 46 -0.0137075903482398 -0.00268861400356668 0.507834902729982 0.94226133105 46 10
46 11 46 45.5193453915123 10.7829086884547 46 -0.0215223819822866 -0.0250814920773919 0.50814647745599 0.9394437217 46 11
46 12 46 45.3372977835554 11.7591428929828 45 -0.0470605313046268 -0.0464401194563715 0.508319167000812 0.93642264595 45 12
46 13 46 45.2405886484987 12.5964964555697 45 -0.0407040647829772 -0.0906218902134475 0.508760580166031 0.9326835204 45 13
46 14 46 45.1096808668256 13.4772572595867 45 -0.0555712488905353 -0.108947590799108 0.509170849470697 0.9282538632 45 13
46 15 46 44.8875491135148 14.320309319298 45 -0.0591110418241273 -0.159671700526462 0.509298141014075 0.92357260575 45 14
47 5 47 46.9156453998313 4.99587386022405 47 -0.00742751676015616 -0.00657539818292729 0.507250116547594 0.9481894608 47 5
47 6 47 46.8533964342065 5.97321175019421 47 -0.00469424360701484 -0.00487508754185573 0.507443619385217 0.9468719161 47 6
47 7 47 46.8324802925138 6.95466100594346 47 -0.00143101915612164 -0.0110710984376388 0.507692146740696 0.94510488035 47 7
47 8 47 46.7385789085422 7.90518898014905 47 -0.00765759140286223 -0.00454604447234752 0.507864366396015 0.94335996715 47 8
47 9 47 46.6399749203739 8.88697089412572 47 -0.0114825412480549 -0.0231852706723386 0.508018399094764 0.94120462025 47 9
47 10 47 46.5840926918667 9.88330386103472 47 -0.0263089435049178 -0.00623976227154133 0.508402214174822 0.93834463285 47 10
47 11 47 46.4973103283885 10.789074652888 47 -0.0270580558311588 -0.0265605782753178 0.508629244010408 0.93534926875 46 11
47 12 47 46.3580832224146 11.6907382331236 46 -0.052968218365825 -0.0328597553422942 0.509073778863461 0.93207513675 46 12
47 13 47 46.2124279184616 12.6082825095543 46 -0.0516729519386503 -0.0822255315544878 0.509308677559829 0.9279984718 46 13
47 14 47 46.000871695785 13.4601254689024 46 -0.0629974136045597 -0.110444953666039 0.509498231757599 0.9239771648 46 13
47 15 47 45.7602205961078 14.3216201392136 46 -0.076531272649356 -0.152838906373805 0.50976288671661 0.9190263147 46 14
48 5 48 47.9062595677251 4.98220738213313 48 -0.00394328608667836 -0.00584897390288797 0.507686789952828 0.9448477706 48 5
48 6 48 47.8564014024995 5.9890506507088 48 -0.0126584666702492 -0.000573707573495508 0.507925766763764 0.94334516115 48 6
48 7 48 47.7832236269733 6.96068091291535 48 0.00881496604565344 0.000677130181750751 0.508100759826768 0.94165696035 48 7
48 8 48 47.7375405945662 7.93251481155643 48 -0.0134232273520255 -0.00558633580453227 0.508302380074384 0.9395667905 48 8
48 9 48 47.6875974919971 8.89558540543485 48 -0.0240611401812461 -0.0157174077852127 0.508574868117718 0.93704925425 48 9
48 10 48 47.5346268212008 9.8175051505345 48 -0.024182792118208 0.00790674870959718 0.508874125990773 0.93456063545 48 10
48 11 48 47.4410544088207 10.7689952581912 47 -0.0430116934163951 -0.0148253528768554 0.5092420919662 0.9312357074 47 11
48 12 48 47.3263638077525 11.6730069482115 47 -0.0446091718035619 -0.0538009899661853 0.509539771462093 0.92743088345 47 12
48 13 48 47.1320954847827 12.5585945724423 47 -0.0535586277426964 -0.0820168729118764 0.509731086231611 0.9236316775 47 13
48 14 48 46.9491871141177 13.473389380813 47 -0.0685812488788397 -0.0981381902814298 0.510021615236003 0.91864190135 47 13
48 15 48 46.7602929771974 14.2214295112319 47 -0.0846133137860201 -0.13595990173472 0.510588986287947 0.9135760815 47 14
49 5 49 48.8818737017961 4.9815309784608 49 0.0017330858914533 0.0131872135873117 0.508124641881058 0.94129506715 49 5
